HappinessRank,Country,Region,HappinessScore,Economy,Family,Health,Freedom,Trust,Generosity,Year
1,Finland,Western Europe,"7,821","1,892","1,258","0,775","0,736","0,534","0,109",2022
2,Denmark,Western Europe,"7,636","1,953","1,243","0,777","0,719","0,532","0,188",2022
3,Iceland,Western Europe,"7,557","1,936","1,320","0,803","0,718","0,191","0,270",2022
4,Switzerland,Western Europe,"7,512","2,026","1,226","0,822","0,677","0,461","0,147",2022
5,Netherlands,Western Europe,"7,415","1,945","1,206","0,787","0,651","0,419","0,271",2022
6,Luxembourg*,-,"7,404","2,209","1,155","0,790","0,700","0,388","0,120",2022
7,Sweden,Western Europe,"7,384","1,920","1,204","0,803","0,724","0,512","0,218",2022
8,Norway,Western Europe,"7,365","1,997","1,239","0,786","0,728","0,474","0,217",2022
9,Israel,Middle East and Northern Africa,"7,364","1,826","1,221","0,818","0,568","0,143","0,155",2022
10,New Zealand,Australia and New Zealand,"7,200","1,852","1,235","0,752","0,680","0,483","0,245",2022
11,Austria,Western Europe,"7,163","1,931","1,165","0,774","0,623","0,329","0,193",2022
12,Australia,Australia and New Zealand,"7,162","1,900","1,203","0,772","0,676","0,341","0,258",2022
13,Ireland,Western Europe,"7,041","2,129","1,166","0,779","0,627","0,408","0,190",2022
14,Germany,Western Europe,"7,034","1,924","1,088","0,776","0,585","0,358","0,163",2022
15,Canada,North America,"7,025","1,886","1,188","0,783","0,659","0,368","0,217",2022
16,United States,North America,"6,977","1,982","1,182","0,628","0,574","0,177","0,220",2022
17,United Kingdom,Western Europe,"6,943","1,867","1,143","0,750","0,597","0,329","0,289",2022
18,Czechia,-,"6,920","1,815","1,260","0,715","0,660","0,048","0,158",2022
19,Belgium,Western Europe,"6,805","1,907","1,106","0,764","0,492","0,204","0,049",2022
20,France,Western Europe,"6,687","1,863","1,219","0,808","0,567","0,266","0,070",2022
21,Bahrain,Middle East and Northern Africa,"6,647","1,854","1,029","0,625","0,693","0,155","0,199",2022
